Name,Party,Early Voting,Election Day,By Mail,Prov.,Total,Percentage
Donald J. Trump and Michael  Pence,Republican,"453,227","249,123","248,240","25,824",976414,32.2%
Joe  Biden and Kamala  Harris,Democratic,"507,955","170,767","1,221,847","84,454",1985023,65.4%
Jo  Jorgensen and Jeremy Spike Cohen,Libertarian,"9,735","8,447","14,242","1,064",33488,1.1%
Howie Gresham Hawkins and Angela  Walker,Green,"5,624","3,769","5,711",695,15799,0.5%
Jerome M. Segal and John  de Graaf,Bread and Roses,"2,528","1,500","1,577",279,5884,0.2%
Sharon  Wallace and Karen M. Short (Write In),Democratic,0,0,0,0,0,0.0%
Dennis Andrew Ball (Write In),Other,5,0,3,0,8,0.0%
Barbara  Bellar (Write In),Other,9,4,10,0,23,0.0%
President  Boddie (Write In),Other,2,1,0,1,4,0.0%
Mary Ruth Caro Simmons and Sherrie  Dow (Write In),Other,0,0,0,0,0,0.0%
Brian  Carroll (Write In),Other,180,122,474,19,795,0.0%
Todd  Cella (Write In),Other,1,2,6,2,11,0.0%
Mark  Charles and Adrian  Wallace (Write In),Other,5,4,20,1,30,0.0%
Phil  Collins (Write In),Other,3,2,5,0,10,0.0%
"Roque ""Rocky"" De La Fuente (Write In)",Other,7,8,10,1,26,0.0%
Ryan  Ehrenreich and Veronica  Ehrenreich (Write In),Other,0,0,0,0,0,0.0%
Randall  Foltyniewkz (Write In),Other,0,0,0,0,0,0.0%
Tom  Hoefling and Andy  Prior (Write In),Other,4,2,5,0,11,0.0%
Shawn  Howard (Write In),Other,8,2,10,0,20,0.0%
Johnson  Lee (Write In),Other,0,0,1,0,1,0.0%
Susan B. Lochocki (Write In),Other,0,0,0,0,0,0.0%
Brock  Pierce and Karia  Ballard (Write In),Other,6,4,4,2,16,0.0%
Deborah  Rouse and Sheila  Cannon (Write In),Other,2,2,2,0,6,0.0%
Peter W. Sherrill (Write In),Other,0,3,0,0,3,0.0%
Jade  Simmons and Claudeligh J. Roze (Write In),Other,34,30,64,3,131,0.0%
Kasey  Wells (Write In),Other,4,0,1,0,5,0.0%
Kanye  West (Write In),Other,352,326,382,57,1117,0.0%
Gloria  La Riva and Sunil  Freeman (Write In),Unaffiliated,31,15,73,6,125,0.0%
Albert  Raley (Write In),Unaffiliated,8,10,14,0,32,0.0%
Benjamin  Schwalb (Write In),Unaffiliated,2,1,0,0,3,0.0%
Edward  Shlikas (Write In),Unaffiliated,0,0,0,0,0,0.0%
Other Write-Ins,,"4,253","2,982","10,285",525,18045,0.6%
